"averaging","ˈæv.ər.ɪdʒ.ɪŋ","B2","verb","calculating the average","ortalamasını alma","mean, standard","We are <b>averaging</b> about 50 sales a day.","<b>Averaging</b> the results gives us a clearer picture.","Eve Reçin","İstatistikçi, '<b>Eve Reçin</b>e (averaging) bulaşmış, temizleme süresinin <b>ortalamasını al</b>mamız lazım' dedi."
"relatively","ˈrel.ə.tɪv.li","B2","adv","quite good, bad, etc. in comparison with other similar things","nispeten, görece","comparatively, quite","The exam was <b>relatively</b> easy.","It is a <b>relatively</b> small city.","Reçelli Telli","Bu tatlı diğerine göre <b>nispeten</b> daha <b>Reçelli</b> ve <b>Telli</b> (relatively) (tel kadayıf)."
"wavelength","ˈweɪv.leŋθ","C2","noun","the distance between two waves","dalga boyu","frequency, wave","Blue light has a shorter <b>wavelength</b> than red.","We are on the same <b>wavelength</b> regarding this issue.","Vay Lenk","Radyocu '<b>Vay</b> be, frekanslar birbirine <b>Lenk</b> (wavelength) (denk) geldi, aynı <b>dalga boyu</b>ndayız!' dedi."
"roughly","ˈrʌf.li","B2","adv","approximately","kabaca, yaklaşık","approximately, about","There were <b>roughly</b> 200 people at the party.","The two countries are <b>roughly</b> the same size.","Raflı","Marangoz, '<b>Raflı</b> (roughly) dolabın maliyeti <b>kabaca</b> beş bin lira tutar' dedi."
"perceive","pəˈsiːv","C1","verb","to come to an opinion about something","algılamak, sezmek","see, discern","How do the French <b>perceive</b> the British?","I <b>perceive</b> a change in his behavior.","Pisi","Kedi, karanlıkta <b>Pisi</b>yiv (perceive) diye seslenince tehlikeyi <b>algıladı</b> ve kaçtı."
"odd","ɒd","B2","adj","strange or unexpected","tuhaf, garip (veya tek sayı)","strange, weird","It's <b>odd</b> that he hasn't called yet.","3, 5, and 7 are <b>odd</b> numbers.","Od","Odanın ortasında yanan <b>Od</b> (odd) (ateş) çok <b>tuhaf</b> ve <b>garip</b> görünüyordu."
"pitch","pɪtʃ","C2","noun","a speech or act that attempts to persuade someone","satış konuşması, perde (ses)","proposal, tone","He made a sales <b>pitch</b> to the investors.","Her voice has a very high <b>pitch</b>.","Piliç","Pazarcı, elindeki <b>Piliç</b> (pitch) leri satmak için yüksek <b>perde</b>den bir <b>satış konuşması</b> yaptı."
"equivalent","ɪˈkwɪv.əl.ənt","B2","adj","having the same amount, value, purpose, etc.","eşdeğer, muadil","equal, corresponding","One dollar is <b>equivalent</b> to roughly 30 liras.","Is there an <b>equivalent</b> version for Mac?","Ekip Bülent","Patron, '<b>Eki</b>pteki <b>Bülent</b> (equivalent) diğer elemanlarla <b>eşdeğer</b> yetenekte, onu değiştirmeyin' dedi."
"duration","dʒuˈreɪ.ʃən","C1","noun","the length of time that something lasts","süre, müddet","length, period","The course has a <b>duration</b> of six weeks.","Please remain seated for the <b>duration</b> of the flight.","Dur Eşin","Doktor, '<b>Dur Eşin</b> (duration) (eşine) söyle, ameliyat <b>süre</b>si uzayabilir' dedi."
"conversely","kənˈvɜːs.li","C2","adv","in an opposite way","aksine, diğer taraftan","on the other hand, reverse","You can add more sugar; <b>conversely</b>, you can reduce it.","Poor health is accepted as an attribute of old age; <b>conversely</b>, longevity is associated with good health.","Konverse Sili","Çocuk, 'Eski <b>Konverse</b>'ini <b>Sili</b> (conversely)yorum, <b>aksine</b> yenisini almayacağım' dedi."
"reunion","riːˈjuː.njən","C1","noun","a social event for a group of people who have not seen each other for a long time","yeniden birleşme, toplantı","gathering, meeting","We are planning a high school <b>reunion</b>.","It was an emotional <b>reunion</b> for the family.","Reyon Yan","Marketin <b>Reyon</b>u <b>Yan</b>dı (reunion) sanıp kaçanlar, aslında bunun eski çalışanların <b>yeniden birleşme</b> partisi olduğunu anladılar."
"whack","wæk","C2","verb","to hit someone or something noisily","kütletmek, sertçe vurmak","hit, strike","He <b>whack</b>ed the ball with his bat.","I <b>whack</b>ed my knee against the table.","Vak","Ördek <b>Vak</b> (whack) diye bağırınca adam sinirlenip kafasına sopayla <b>sertçe vurdu</b>."
"occasion","əˈkeɪ.ʒən","B2","noun","a particular time, especially when something happens","durum, vesile, fırsat","instance, event","We met on several <b>occasion</b>s to discuss the project.","This is a special <b>occasion</b>.","Okey Can","Arkadaşım '<b>Okey Can</b> (occasion), bu özel <b>vesile</b>yle seninle oyun oynarım' dedi."
"leisure","ˈleʒ.ər","B2","noun","the time when you are not working","boş vakit","free time, relaxation","I don't have much time for <b>leisure</b> activities.","He spends his <b>leisure</b> reading books.","Leş Yer","Akbaba, <b>boş vakit</b>lerinde çöl kenarında bekleyip <b>Leş Yer</b> (leisure)."
"tedious","ˈtiː.di.əs","C1","adj","boring","sıkıcı, bıktırıcı","boring, dull","Filling out forms is a <b>tedious</b> task.","The lecture was long and <b>tedious</b>.","Teyze Diyoruz","Yaşlı kadına sürekli '<b>Teyze Diyoruz</b> (tedious)' diye seslenmekten iş o kadar <b>sıkıcı</b> ve <b>bıktırıcı</b> hale geldi ki kaçtık."
"sandwich","ˈsæn.wɪdʒ","B1","verb","to put something in a small space between two other things","arasına sıkıştırmak","squeeze, insert","I was <b>sandwich</b>ed between two large men on the bus.","The meeting was <b>sandwich</b>ed between two other appointments.","Sen Vinç","İnşaat işçisi '<b>Sen Vinç</b> (sandwich) ile duvarın <b>arasına sıkışmış</b>sın, dikkat et!' diye uyardı."
"conquer","ˈkɒŋ.kər","C1","verb","to take control or possession of foreign land","fethetmek, yenmek","defeat, overcome","He finally <b>conquer</b>ed his fear of spiders.","The army set out to <b>conquer</b> the neighboring lands.","Kan Kır","Komutan, '<b>Kan</b> döküp düşmanın belini <b>Kır</b> (conquer)acağız ve bu şehri <b>fethedeceğiz</b>!' dedi."
"heuristic","hjuəˈrɪs.tɪk","C2","adj","(of a method of teaching) allowing students to learn by discovering things themselves","keşifsel, deneme-yanılma yoluyla öğrenen","exploratory, trial-and-error","We used a <b>heuristic</b> approach to solve the problem.","The antivirus uses <b>heuristic</b> analysis to find new threats.","Hür İstik","Öğretmen, '<b>Hür İstik</b>bal (heuristic) göklerdedir' diyerek öğrencilerin <b>keşifsel</b> yolla öğrenmelerini sağladı."
"so forth","səʊ fɔːθ","C1","phrase","and similar things","ve benzerleri, vesaire","and so on, et cetera","We discussed marketing, sales, and <b>so forth</b>.","He needs paper, pens, and <b>so forth</b>.","Su Ford","Arabayı yıkadık, lastikleri parlattık, <b>Su</b> tuttuk, <b>Ford</b>u (so forth) temizledik <b>vesaire</b>, işler bitti."
"halving","hɑːvɪŋ","B2","verb","dividing into two equal parts","ikiye bölme, yarıya indirme","splitting, bisecting","The Bitcoin <b>halving</b> event happens every four years.","We are aiming for <b>halving</b> our carbon emissions.","Helva İni","Aşçı koca tepsi <b>Helva</b>yı <b>İn</b>i (halving) (inine) götüren ayıya kaptırmamak için tam ortadan <b>ikiye böldü</b>."
"give or take","ɡɪv ɔːr teɪk","B2","phrase","approximately","aşağı yukarı, üç aşağı beş yukarı","approximately, roughly","It will take an hour, <b>give or take</b> a few minutes.","There were 50 people there, <b>give or take</b>.","Giy Ortek","Ayakkabıcı 'Bu <b>Giy</b>diğin <b>Ortek</b> (give or take) (ortopedik) taban, ayağını <b>aşağı yukarı</b> bir santim yükseltir' dedi."
"thereof","ðeərˈɒv|","C2","adv","of or about the thing just mentioned","onun, bunun (bahsedilen şeyin)","of that, concerning that","The contract and the terms <b>thereof</b> must be signed.","The problem, or the lack <b>thereof</b>, surprised us.","Der Of","Adam sözleşmeyi okuyunca '<b>Der Of</b> (thereof)! Bu maddelerin <b>onunla</b> ne alakası var?' diye isyan etti."
"competitive","kəmˈpet.ɪ.tɪv","B2","adj","wanting very much to win or be more successful than other people","rekabetçi","ambitious, aggressive","The market is highly <b>competitive</b>.","He has a very <b>competitive</b> nature.","Kamp Eti Tüy","<b>Kamp</b>ta <b>Eti</b> kapan <b>Tüy</b>lü (competitive) köpek, diğerleriyle <b>rekabetçi</b> bir kavgaya tutuştu."
"finite","ˈfaɪ.naɪt","C2","adj","having a limit or end","sınırlı, sonlu","limited, restricted","We have <b>finite</b> resources, so use them wisely.","Life is <b>finite</b>, so enjoy it.","Fay Nayt","Deprem uzmanı, '<b>Fay</b> hattı bu <b>Nayt</b> (finite) (gece) kırılabilir, zamanımız <b>sınırlı</b>' dedi."
"vital","ˈvaɪ.təl","B2","adj","necessary for the success or continued existence of something","hayati, çok önemli","essential, crucial","Regular exercise is <b>vital</b> for good health.","It is <b>vital</b> that you keep this secret.","Vay Tel","Asker, '<b>Vay</b> be! Bu <b>Tel</b> (vital) (telefon) hattı savaşta iletişim için <b>hayati</b> önem taşıyor' dedi."
"vernacular","vəˈnæk.jə.lər","C2","noun","the form of a language that a particular group of speakers use naturally","yerel dil, argo, jargon","dialect, slang","The word is part of the local <b>vernacular</b>.","He wrote in the <b>vernacular</b> of the street.","Ver Ne Kular","Köylü, '<b>Ver</b> şu <b>Ne</b>vale <b>Kullar</b>ını (vernacular)' diyerek <b>yerel dilde</b> konuştu, kimse anlamadı."
"succinctly","səkˈsɪŋkt.li","C2","adv","in a brief and clearly expressed manner","kısa ve öz bir şekilde","concisely, briefly","Please state your problem <b>succinctly</b>.|He <b>succinctly</b> summarized the main points.","Sık Sık Çinli","Turist rehberi, '<b>Sık Sık Çinli</b> (succinctly) turistler gelir' diyerek konuyu <b>kısa ve öz bir şekilde</b> anlattı."
"mattered","ˈmæt.əd","B1","verb","was important","önemliydi (matter fiilinin geçmiş hali)","counted, signified","It didn't seem to matter then, but it <b>mattered</b> later.","What <b>mattered</b> most was his honesty.","Meter","Terzi için kumaşın kaç <b>Meter</b> (mattered) (metre) olduğu çok <b>önemliydi</b>."
"indentation","ˌɪn.denˈteɪ.ʃən","C1","noun","a space left at the beginning of a line of text","girinti (paragraf/kod başı)","indent, spacing","Python relies heavily on correct <b>indentation</b>.","Use a tab for <b>indentation</b> in this document.","İnden Taşan","Mağaranın <b>İnden Taşan</b> (indentation) sular, kayada büyük bir <b>girinti</b> oluşturmuştu."
"significance","sɪɡˈnɪf.ɪ.kəns","B2","noun","importance","önem, ehemmiyet","importance, meaning","I don't think you understand the <b>significance</b> of this event.","The discovery has great scientific <b>significance</b>.","Sık Nefes İkiz","Doktor, '<b>Sık Nefes</b> alan <b>İkiz</b>lerin (significance) durumu büyük <b>önem</b> taşıyor' dedi."
"dealt","delt","B2","verb","handled or managed (past of deal)","ilgilendi, ele aldı","handled, managed","He <b>dealt</b> with the customer complaints effectively.","The cards were <b>dealt</b> quickly.","Dert","Adam o kadar çok <b>Dert</b> (dealt) ile <b>uğraştı, ilgilendi</b> ki saçları beyazladı."
"induce","ɪnˈdjuːs","C1","verb","to persuade someone or cause something","tetiklemek, ikna etmek, neden olmak","cause, persuade","Nothing could <b>induce</b> me to climb that mountain.","The drug may <b>induce</b> sleepiness.","En Düz","Şoförü '<b>En Düz</b> (induce) yoldan gidelim' diye <b>ikna etmeye</b> çalıştı, yoksa midesi bulanacaktı (tetikleyecekti)."
"invariably","ɪnˈveə.ri.ə.bli","C2","adv","always","değişmez bir şekilde, daima","always, constantly","The train is <b>invariably</b> late on Mondays.","He <b>invariably</b> forgets his keys.","İn Veri Abla","Bilgisayarcı kadına yalvardı: 'Sistemden <b>İn</b>en <b>Veri</b>yi <b>Abla</b> (invariably), sen <b>daima</b> silersin, yapma!'"
"outright","ˈaʊt.raɪt","C2","adv","completely or immediately","tamamen, derhal, açıkça","completely, instantly","I told him <b>outright</b> that I wouldn't go.","They bought the house <b>outright</b> with cash.","At Rayt","Makinist, '<b>At</b>lar <b>Ray</b>da (outright) koşuyor!' diyerek treni <b>derhal</b> durdurdu, tehlike <b>açıkça</b> ortadaydı."
"glance","ɡlɑːns","B1","verb","to give a quick short look","göz atmak","peek, glimpse","He <b>glance</b>d at his watch nervously.","She took a quick <b>glance</b> at the headlines.","Gı Lens","Kadın gözüne taktığı <b>Gı</b>ri <b>Lens</b> (glance) ile aynaya şöyle bir <b>göz attı</b>."
"omnipresent","ˌɒm.nɪˈprez.ənt","C2","adj","present or having an effect everywhere at the same time","her yerde var olan","ubiquitous, pervasive","The internet is now <b>omnipresent</b> in our lives.","God is described as <b>omnipresent</b> in many religions.","Onu Priz At","Elektrikçi, '<b>Onu Priz</b>e <b>At</b> (omnipresent) fişi tak, elektrik <b>her yerde var olsun</b>' dedi."
"nutshell","ˈnʌt.ʃel","C1","idiom","in a few words (in a nutshell)","kısaca, özetle","briefly, in short","To put it in a <b>nutshell</b>, we are bankrupt.","Here is the story in a <b>nutshell</b>.","Not Şel","Yazar, '<b>Not</b>larını <b>Şel</b>ale (nutshell) kenarında okudum' diyerek hikayeyi <b>kısaca, özetle</b> anlattı."
"daresay","ˈdeə.seɪ","C2","verb","to think it is probable (I daresay)","sanırım, muhtemelen (öyle olduğunu varsaymak)","assume, suppose","I <b>daresay</b> he will be late again.","It was, I <b>daresay</b>, the best meal of my life.","Der Say","Patron işçiye 'Kaç kutu var <b>Der Say</b> (daresay) (derhal say)!' dedi, işçi de '<b>Sanırım</b> yüz tane var' diye cevap verdi."
"critique","krɪˈtiːk","C1","noun","a report of something such as a political situation or system, or a person's work or ideas","eleştiri, kritik (inceleme)","review, analysis","She wrote a detailed <b>critique</b> of the new policy.","His <b>critique</b> of the novel was harsh.","Kır İtik","Yazar, 'Bu sandalye çok <b>Kır</b>ılgan, sakın <b>İtik</b> (critique) lemeyin' diyen eleştirmenin <b>kritik</b> (eleştiri) yazısını okudu."
"plot","plɒt","B2","noun","the story of a book, film, play, etc.","konu, olay örgüsü (ayrıca komplo)","storyline, scheme","The movie has a very complex <b>plot</b>.","They were accused of hatching a <b>plot</b> against the king.","Pilot","<b>Pilot</b> (plot), uçağı kaçırma <b>komplo</b>sunu öğrenince filmin <b>konu</b>su birden değişti."
"frankly","ˈfræŋ.kli","B2","adv","in an honest and direct way","açıkçası, dürüst olmak gerekirse","honestly, candidly","<b>Frankly</b>, I don't care what they think.","He spoke <b>frankly</b> about his problems.","Frenk Li","Adam '<b>Frenk</b> (Frank) dövizi <b>Li</b>rada (frankly) daha değerli' diyerek <b>dürüstçe</b> fikrini söyledi."
"arguably","ˈɑːɡ.ju.ə.bli","C2","adv","used when stating an opinion or belief that you think can be shown to be true","muhtemelen, tartışmaya açık olsa da (savunulabilir ki)","possibly, conceivably","He is <b>arguably</b> the best player in the world.","This is <b>arguably</b> their most important album.","Örgü Abla","'<b>Örgü</b> ören <b>Abla</b> (arguably), <b>muhtemelen</b> mahallenin en hızlısıdır' diye iddia edildi."
"whereby","weəˈbaɪ","C2","conj","by which way or method","ki bu sayede, vasıtasıyla","by which, through which","They have a system <b>whereby</b> you can vote online.|We made a deal <b>whereby</b> we split the profits.","Ver Bay","Kapıcı, '<b>Ver Bay</b>ım (whereby) anahtarı, <b>ki bu sayede</b> kapıyı açayım' dedi."
"trapezoid","ˈtræp.ɪ.zɔɪd","C2","noun","a flat shape with four sides, where two sides are parallel","yamuk (geometri)","trapezium","Calculate the area of the <b>trapezoid</b>.","The table was shaped like a <b>trapezoid</b>.","Trapes O İt","Sirkteki <b>Trapes</b>te sallanan <b>O İt</b> (trapezoid), havada <b>yamuk</b> bir şekil çizerek yere düştü."
"incarnated","ˈɪn.kɑː.neɪ.tɪd","C2","adj","given a human form","vücut bulmuş, ete kemiğe bürünmüş","embodied, personified","He looked like the devil <b>incarnated</b>.","She is kindness <b>incarnated</b>.","İnkar Ney Tadı","Şeytan insan kılığına girip yeryüzüne inince, adam 'Bunun <b>İnkar</b> edilecek <b>Ney Tadı</b> (incarnated) var? Resmen kötülük <b>vücut bulmuş</b>!' dedi."
"lamppost","ˈlæmp.pəʊst","B2","noun","a tall post with a light at the top","sokak lambası direği","streetlight","He leaned against the <b>lamppost</b> waiting for the bus.","The car crashed into a <b>lamppost</b>.","Lamba Post","Kedi, <b>sokak lambası direği</b>nin tepesine çıkıp oraya bir <b>Lamba Post</b>u (lamppost) (post) serdi ve uyudu."
"interminable","ɪnˈtɜː.mɪ.nə.bəl","C2","adj","continuing for too long and therefore boring or annoying","bitmek bilmez","endless, ceaseless","The journey seemed <b>interminable</b>.","We sat through an <b>interminable</b> meeting.","İn Terminal","Otobüs o kadar yavaştı ki yolcular '<b>İn Terminal</b>e (interminable) bir türlü varamadık, bu yolculuk <b>bitmek bilmez</b>!' diye bağırdı."
"escalade","ˌes.kəˈleɪd","C2","noun","the scaling of fortified walls using ladders|(duvar) tırmanma, tırmanış","climb, scaling","The soldiers attempted an <b>escalade</b> of the castle walls.","It was a daring <b>escalade</b> under enemy fire.","İskele","Korsanlar gemiden <b>İskele</b>ye (escalade) dayadıkları merdivenle kaleye <b>tırmanış</b>a geçtiler."
"proverbial","prəˈvɜː.bi.əl","C2","adj","well known (as in a proverb)","atasözü gibi, meşhur, dillerde olan","famous, legendary","He arrived with his <b>proverbial</b> bad luck.","Her patience is <b>proverbial</b> among the staff.","Puro Ver Bir Yıl","Dede torununa 'Bana o meşhur <b>Puro</b>dan <b>Ver, Bir Yıl</b> (proverbial) içeyim' dedi, dedenin bu huyu <b>dillerdeydi (meşhurdu)</b>."
"predecessor","ˈpriː.dɪˌses.ər","C1","noun","someone who had a job or a position before someone else","selef, önceki","forerunner, ancestor","My <b>predecessor</b> worked here for twenty years.","The new system is faster than its <b>predecessor</b>.","Pire Dede Sor","Çocuk, 'Bu koltukta senden <b>önceki</b> kimdi?' diye <b>Pire Dede</b>ye <b>Sor</b> (predecessor)du."
"former","ˈfɔː.mər","B2","adj","of or in an earlier time; before the present time","eski, önceki","previous, ex","The <b>former</b> president gave a speech.","She is a <b>former</b> champion.","Forma","Emekli futbolcu, duvarda asılı <b>eski</b> <b>Forma</b>sına (former) bakıp geçmiş günleri andı."
"disposal","dɪˈspəʊ.zəl","C1","noun","the act of getting rid of something","imha, bertaraf etme (veya kullanımına sunulma)","removal, discarding","The safe <b>disposal</b> of nuclear waste is a problem.","I am at your <b>disposal</b> if you need help.","Dış Poz Al","Manken, çöp konteynerinin yanında <b>Dış</b>arıda <b>Poz Al</b> (disposal)ırken çöplerin <b>imha</b> edildiğini fark etmedi."
"instinct","ˈɪn.stɪŋkt","C1","noun","the way people or animals naturally react","içgüdü","intuition, impulse","My first <b>instinct</b> was to run away.","Birds build nests by <b>instinct</b>.","İnsan Tık","Köpeğin <b>içgüdü</b>sü ona havlamasını söyledi ama boğazı <b>İns</b>an gibi <b>Tık</b>anık (instinct) olduğu için sesi çıkmadı."
"flourish","ˈflʌr.ɪʃ","C1","verb","to grow or develop successfully","gelişmek, serpilmek","thrive, prosper","The business began to <b>flourish</b> in the new location.","Plants <b>flourish</b> in this warm climate.","Flor İş","Çiçekçi, bitkiler <b>gelişsin</b> ve <b>serpilsin</b> diye toprağa <b>Flor</b>ürlü <b>İş</b> (flourish)lenmiş gübre döktü."
"adjourn","əˈdʒɜːn","C2","verb","to have a pause or rest during a formal meeting or trial","oturuma ara vermek, ertelemek","suspend, postpone","The meeting was <b>adjourn</b>ed until tomorrow.","Shall we <b>adjourn</b> to the library for coffee?","Acun","<b>Acun</b> (adjourn), reytingler düşünce programa <b>ara verdi</b> ve çekimi <b>erteledi</b>."
"pioneer","ˌpaɪ.əˈnɪər","C1","noun","a person who is one of the first people to do something","öncü","trailblazer, innovator","He is a <b>pioneer</b> in the field of artificial intelligence.","They were the <b>pioneer</b>s of modern aviation.","Piyon Er","Satranç tahtasındaki küçük <b>Piyon Er</b> (pioneer), karşı tarafa geçen ilk taş olarak <b>öncü</b> oldu."
"caveat","ˈkæv.i.æt","C1","noun","a warning to consider something before taking any more action","uyarı, ikaz (şerh)","warning, caution","There is one important <b>caveat</b> to this deal.","I recommend the product, with the <b>caveat</b> that it's expensive.","Kavi Yat","Kaptan, 'Bu <b>Kavi Yat</b> (caveat) (sağlam yat) ile denize açılabilirsin ama bir <b>uyarı</b>m var: Fırtınaya dikkat et!' dedi."
"tend","tend","B2","verb","to be likely to behave in a particular way","eğiliminde olmak","incline, be likely","I <b>tend</b> to wake up early in the summer.","Prices <b>tend</b> to go up during the holidays.","Tente","Rüzgar çıkınca kampçıların kurduğu <b>Tente</b> (tend) uçma <b>eğiliminde oldu</b>."
"henceforth","hensˈfɔːθ","C2","adv","starting from this time","bundan böyle","from now on, hereafter","<b>Henceforth</b>, all staff must wear ID badges.","She announced that <b>henceforth</b> she would work from home.","Hans Ford","Alman mühendis <b>Hans</b>, <b>Ford</b> (henceforth) fabrikasını satın aldı ve '<b>Bundan böyle</b> burada sadece uçan araba üretilecek' dedi."
"abbreviation","əˌbriː.viˈeɪ.ʃən|","B1","noun","a short form of a word or phrase","kısaltma","acronym, shortening","'USA' is an <b>abbreviation</b> for United States of America.","Please avoid using obscure <b>abbreviation</b>s.","Abre Vi Eşen","Komutan, uzun mesajı yazmaya üşendi ve '<b>Abre</b> (Ağabey) <b>Vi</b>yana <b>Eşen</b> (abbreviation) çayına kadar kısaca yaz' diyerek <b>kısaltma</b> yaptı."
"reminiscent","ˌrem.ɪˈnɪs.ənt","C2","adj","making you remember a particular person, event, or thing","hatırlatan, andıran","evocative, suggestive","The melody is <b>reminiscent</b> of an old folk song.","Her style is <b>reminiscent</b> of the 1920s.","Remzi'ni Sent","Bu eski para bana borcunu ödemeyen <b>Remzi'ni</b>n verdiği son <b>Sent</b>i (reminiscent) <b>hatırlatıyor</b>."
"trivia","ˈtrɪv.i.ə","C2","noun","details or information that are not important","ıvır zıvır bilgi, önemsiz detaylar","minutiae, details","He knows a lot of sports <b>trivia</b>.","We spent the evening answering <b>trivia</b> questions.","Tırıvırı","Adam sürekli <b>önemsiz detaylar</b>dan bahsediyordu, arkadaşı dayanamadı: 'Bırak bu <b>Tırıvırı</b> (trivia) işleri, sadede gel!'"
"naive","naɪˈiːv","B2","adj","too willing to believe that someone is telling the truth","saf, toy","innocent, gullible","It was <b>naive</b> of me to trust him.","Don't be so <b>naive</b> as to think it will be easy.","Neyiv (Ney)","Çoban o kadar <b>saf</b>tı ki, kurda 'Gel beraber <b>Ney</b> (naive) üfleyelim' dedi."
"ill-phrased questions","ɪl freɪzd ˈkwes.tʃənz","C1","phrase","questions that are poorly constructed","yanlış/kötü sorulmuş sorular","poorly worded questions","The survey failed due to <b>ill-phrased questions</b>.","He stumbled over a few <b>ill-phrased questions</b>.","İl (İlçe) Fıre","Vali ilçeyi ziyarete geldi ama gazetecilerin soruları o kadar <b>kötü sorulmuş</b>tu ki, vali 'Bu <b>İl</b> de çok <b>Fıre</b> (ill-phrased) veriyor' dedi."
"inadequate","ˌɪnˈæd.ɪ.kwət","C1","adj","not good enough or too low in quality","yetersiz","insufficient, deficient","The evidence was deemed <b>inadequate</b>.","He felt <b>inadequate</b> for the task.","İne De Kuvvet","Çiftçi 'Bu <b>İne De Kuvvet</b> (inadequate) lazım ama yemi çok <b>yetersiz</b>' diye söylendi."
"self-criticism","self ˈkrɪt.ɪ.sɪ.zəm","C1","noun","the act of criticizing oneself","öz eleştiri","introspection","A little <b>self-criticism</b> can help you improve.","His report contained a lot of honest <b>self-criticism</b>.","Self Kırıtsın","Aynaya bakıp 'Bırak <b>Self</b>ie çekmeyi de kız biraz <b>Kırıtsın</b> (criticism)' diyerek kendine <b>öz eleştiri</b> yaptı."
"digest","daɪˈdʒest","C1","verb","to change food in your stomach into substances that your body can use","sindirmek (bilgi veya yemek)","process, absorb","It took me a while to <b>digest</b> the bad news.","Certain foods are hard to <b>digest</b>.","Dayı Jest","<b>Dayı</b>nın yaptığı bu büyük <b>Jest</b>i (digest) <b>sindirmek</b> kolay olmadı, çok mahcup oldum."
"initiative","ɪˈnɪʃ.ə.tɪv","C1","noun","the ability to use your judgment to make decisions and do things","girişim, inisiyatif","enterprise, drive","She showed great <b>initiative</b> in solving the problem.","The peace <b>initiative</b> was welcomed by both sides.","İnişi Atıver","Paraşütçü korkunca hoca '<b>İnişi Atıver</b> (initiative) de kurtul, <b>inisiyatif</b> kullan!' diye bağırdı."
"rein","reɪn","C2","noun","a long, thin piece of material, especially leather, that helps you to control and direct a horse","dizgin","control, leash","He pulled on the <b>rein</b>s to stop the horse.","You need to keep a tight <b>rein</b> on spending.","Reyin","Seçim günü <b>Reyin</b>i (rein) (oyunu) kullanırken ipin ucunu kaçırma, hayatının <b>dizgin</b>leri senin elinde."
"voila","vwɑːˈlɑː","C1","interjection","used when showing something (French origin)","işte bu kadar, işte karşınızda","there it is, behold","Add a little salt, and <b>voila</b>, the dish is ready.","Click this button, and <b>voila</b>, your website is live.","Vala (Vallahi)","Sihirbaz şapkadan tavşanı çıkardı ve '<b>Vala</b> (voila), <b>işte karşınızda</b>!' dedi."
"rinse","rɪns","B1","verb","to use water to clean the soap or dirt from something","durulamak","wash, cleanse","<b>Rinse</b> the vegetables thoroughly before cooking.","I need to <b>rinse</b> the shampoo out of my hair.","Rins (Prens)","Masaldaki P<b>rens</b> (rinse) ellerini deredeki suda <b>duruladı</b>."
"pursuit","pəˈsjuːt","C1","noun","the act of following someone or something","kovalamaca, peşinde koşma","chase, quest","The police are in <b>pursuit</b> of the stolen car.","She moved to the city in <b>pursuit</b> of a career.","Pür Süt","Kedi, kamyonetten dökülen <b>Pür Süt</b>ün (pursuit) <b>peşinde koşma</b>ya başladı."
"worthwhile","ˌwɜːθˈwaɪl|","C1","adj","useful, important, or good enough to be a suitable reward for the money or time spent","değer, zahmete değer","valuable, rewarding","It was a difficult climb, but <b>worthwhile</b> for the view.","Teaching is a <b>worthwhile</b> career.","Vört Vay","Alman turist manzarayı görünce '<b>Vört</b> (worth) (değer) buna <b>Vay</b> be!' dedi, gelmeye <b>zahmete değer</b>miş."
"obstacle","ˈɒb.stə.kəl","B2","noun","something that blocks you so that movement, going forward, or action is prevented or made more difficult","engel, mani","barrier, hurdle","Fear is the biggest <b>obstacle</b> to success.","We managed to overcome every <b>obstacle</b>.","Abdest Kıl","Hoca 'Önündeki en büyük <b>engel</b> şeytandır, git <b>Abdest</b> al namaz <b>Kıl</b> (obstacle)' dedi."
"standalone","ˈstænd.ə.ləʊn","C1","adj","able to operate without being connected to a computer or system","bağımsız, tek başına çalışan","independent, self-contained","This is a <b>standalone</b> application, no internet needed.","The speaker works as a <b>standalone</b> device.","Stant Alan","Fuarda tek başına <b>Stant Alan</b> (standalone) adam, kimseye bağlı olmadan <b>bağımsız</b> çalışıyordu."
"derail","ˌdiːˈreɪl","C2","verb","to prevent a plan or process from succeeding","raydan çıkmak, (planı) bozmak","divert, ruin","The scandal threatened to <b>derail</b> the negotiations.","A simple error can <b>derail</b> the entire project.","Deli Ray","Tren o kadar hızlıydı ki makinist 'Bu <b>Deli Ray</b> (derail) bizi <b>raydan çıkaracak</b>!' diye korktu."
"in order to","ɪn ˈɔː.dər tuː","B1","phrase","with the aim of achieving something","amacıyla, -mek için","so as to, for the purpose of","He works hard <b>in order to</b> support his family.","You need to register <b>in order to</b> vote.","İn Orda Tur","Otobüs şoförü yolculara 'Tuvalet ihtiyacını gidermek <b>amacıyla</b> <b>İn Orda Tur</b> (in order to) atın' dedi."
"procrastination","prəˌkræs.tɪˈneɪ.ʃən","C2","noun","the act of delaying something that must be done","erteleme, savsaklama","delaying, stalling","<b>Procrastination</b> is the thief of time.","I need to overcome my habit of <b>procrastination</b>.","Pırasa Tın","Kadın kocasına 'Yine mi <b>Pırasa</b>? <b>Tın</b> (procrastination) (tınlamam)' diyerek yemeği <b>erteleme</b>ye çalıştı."
"steep","stiːp","B2","adj","rising or falling at a sharp angle","dik, sarp (veya fiyat için aşırı yüksek)","sheer, sharp","The hill was too <b>steep</b> to cycle up.","There has been a <b>steep</b> increase in prices.","İstip (İstif)","Marketteki kutuları o kadar <b>Dik</b> <b>İstip</b> (steep) (istif)lemişler ki dokunsan devrilecek."
